0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
110617,111418,112071,112661,113442,117585,123667,124307,129872,231849,401494,449472,781174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110610,111392,112063,112647,113422,114004,115847,118967,123341,127349,129200,139225,151305,164987,166587,170565,281885,313846,390813,429153,436847,490351,702765,848733,863200,958058,-1,-1,-1
110604,111398,112062,112650,113417,117857,118800,123390,133108,205458,226639,231645,234789,243851,400245,551274,789850,982367,984901,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110615,111400,112065,112657,113426,113928,118992,120912,121611,132888,149507,170257,204539,219018,239884,585087,816012,917461,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110626,111365,112061,112654,113434,122199,143010,158451,178826,347929,923907,944891,1025206,1244810,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110633,111360,111957,112636,116165,117562,119338,120691,122754,124901,130049,161321,275594,386056,392665,397695,501180,859728,872033,1246225,-1,-1,-1,-1,-1,-1,-1,-1,-1
110618,111375,112079,112672,115928,118211,119070,120881,127484,128195,140890,207747,525990,602235,717002,790075,876401,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110643,111381,112085,112667,116910,119642,127634,142951,170279,182012,187421,264677,534556,557937,586492,1050595,1166199,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110609,111361,112075,112656,113430,118507,119298,134449,158599,200703,534731,928820,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110598,111396,112075,112661,113439,114738,115797,117790,118301,120819,124759,136922,185208,188232,194933,197127,205931,218506,222160,239064,370238,544457,907181,1136913,1141375,-1,-1,-1,-1
110619,111340,112670,116696,117785,122198,126464,142256,195363,198594,415223,626344,1007422,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110576,111364,112060,112653,113421,116455,118974,120360,123668,127752,145124,155393,164072,173728,190522,227642,234671,1051719,1176152,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110591,111406,112065,112654,113427,114008,117004,117688,118728,122320,127788,129605,134215,150704,156702,164239,182628,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110632,111402,112678,113945,115867,116576,117660,119630,120133,126550,128250,146350,149015,178142,209753,214470,216601,223461,459233,669034,895728,1006292,1245766,-1,-1,-1,-1,-1,-1
110599,111395,111966,112648,113422,114005,116186,117110,119041,120892,128186,139238,160201,227014,229712,429029,432210,441395,733142,849236,924970,955959,1005646,1089757,-1,-1,-1,-1,-1
110652,111503,112075,112657,113429,115743,117788,119229,120810,121893,125956,138659,147642,201026,211538,421541,636464,1028612,1230076,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110620,111397,111973,112654,113430,115858,118486,122118,125443,203820,231858,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110644,111403,112078,112660,113243,113926,117359,119696,120340,122778,145301,170903,194222,319908,356067,671364,904292,1021716,1111448,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110608,111397,112061,112643,115846,118513,119027,122948,178689,427583,529960,1015279,1081559,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110584,111401,112051,112637,114864,116546,128374,132434,157973,160391,180186,186674,190009,215155,370641,508177,619809,621274,625334,736181,-1,-1,-1,-1,-1,-1,-1,-1,-1
110672,111503,112076,112668,113246,113917,116096,118873,122150,124759,173549,239345,246069,638627,658538,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
