0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
110578,111518,112094,112841,113615,124676,127204,131152,132692,133426,134751,135963,136523,137796,140858,150656,154676,156769,198998,206102,210164,213585,310676,348687,451321,452177,476998,520223,699576,738965,1123212,1210536,1224839,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21911,110596,111503,112292,112930,114015,120774,123210,125902,126834,128297,129011,130589,131195,132723,134150,135532,136893,140301,141615,142402,143698,145786,146304,148607,154020,160395,193876,194390,205373,218621,231911,458844,867262,934634,1015324,1113674,1133571,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110605,111388,111912,112435,112947,113637,114413,120330,123283,125274,126937,127937,129245,130944,132388,134267,134866,135920,141276,143939,144847,148017,151908,155189,159486,170713,184223,191707,196352,200386,216459,347159,370376,376249,390428,422220,424110,475237,537423,561870,675994,807259,935230,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
61018,110613,111530,112083,112781,113347,123818,125358,126106,127833,128428,129220,130085,130646,131633,133184,134537,135044,135732,137857,139621,141197,146459,149094,151862,181836,192398,194842,205560,213665,307186,409134,430354,555870,710467,973981,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110592,111403,111978,112752,119817,123254,124514,125622,126194,127576,128100,128672,130065,132126,132779,135144,136445,137053,139715,141495,144268,146570,148558,151891,153967,195880,199752,202880,204860,290037,502918,547231,1141983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
41619,110607,111409,111988,112548,113244,113923,119775,122982,124351,125314,126089,127529,128038,129076,129741,130778,131838,133291,134423,136360,140635,141821,148492,153822,158331,192175,202177,208998,276733,447973,454659,477065,534522,558260,858180,1234023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110594,111365,111891,112549,113142,114102,121210,123929,124548,126171,126875,129185,129849,130469,131715,132411,134214,135101,136139,137354,138532,140231,143581,144417,145170,150521,151456,153579,154753,155872,159472,199776,206453,314776,404531,508202,853640,965855,982248,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110599,111369,112071,112588,113151,113927,119391,123331,124805,126492,127640,128458,129412,130073,131402,132116,132835,134034,135070,136534,138391,142311,149045,152861,153694,161050,174086,179876,201336,214280,362740,404744,430279,582180,752788,778548,973072,1032340,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110590,111409,111963,112748,113703,125071,125999,127074,128063,128732,130637,131140,131663,132516,133757,134683,135286,137750,150489,154898,155879,156380,157439,158522,160230,162229,163359,164473,167300,170613,177338,184979,190399,219820,224383,228260,303688,398620,488455,495442,533559,545006,545615,649610,872849,920800,930690,1014909,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110585,111400,111907,112486,120838,124221,125689,127181,128799,129656,130817,131753,132390,136626,139902,141126,143604,146178,149411,150377,153051,154598,155222,158709,180178,188182,230470,293814,596060,852381,896823,948690,1136866,1159016,1233087,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110569,111404,112059,112627,113315,124072,126579,127444,128344,129208,129875,130434,130968,132272,133239,134231,136391,137447,138087,138954,140442,143044,146340,148975,150554,169696,171512,214853,427055,442695,482800,509115,727420,754770,836379,933732,1076352,1094234,1234519,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110580,111408,112064,112630,113143,120549,122999,125648,129363,130156,131861,132915,135015,135795,136854,139366,139927,146306,155078,160623,189063,319475,334835,412197,469361,946028,1009755,1036341,1082581,1121852,1144742,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110608,111376,112082,112723,120650,123699,125767,126747,127922,129185,129765,130575,131427,133293,134579,136875,140542,141199,143319,143886,144426,146716,148320,149187,152081,153227,192546,199907,206046,303014,313515,440828,460972,471763,476448,477399,678919,1000356,1023079,1118506,1193131,1246568,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
