0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
111628,118543,123553,131616,136953,143493,159801,170413,177074,182525,206738,460097,831029,-1,-1,-1,-1,-1,-1,-1,-1,-1
111623,116812,122079,132201,138221,143433,149602,157069,165376,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111631,118809,124616,129747,138312,146904,153296,200949,210944,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111632,119348,128873,134255,140149,146611,152592,175699,182293,196301,214739,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111618,119173,124345,132172,138395,143890,148989,169889,220679,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111636,116966,121997,129644,136326,144334,149503,158086,167443,184265,202856,208087,407684,513897,-1,-1,-1,-1,-1,-1,-1,-1
111631,119561,127258,132381,137547,144769,150988,161026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111622,118349,124053,130550,135556,141739,151347,158445,166496,172793,191222,214851,526514,881531,-1,-1,-1,-1,-1,-1,-1,-1
111624,118049,123592,132779,142972,155225,162188,171717,176743,190094,673288,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111622,116904,122817,132214,137225,144979,150478,161097,170978,184729,190250,195733,207450,218393,233301,865515,-1,-1,-1,-1,-1,-1
111604,116890,123844,129077,134207,146268,164606,171596,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111617,118582,123811,129022,139370,147595,156209,170841,176269,185862,192384,198001,457162,671952,-1,-1,-1,-1,-1,-1,-1,-1
111623,117333,122345,127485,136069,143294,150704,156153,161179,167174,172374,181121,200891,214019,816436,-1,-1,-1,-1,-1,-1,-1
111636,118868,126656,132373,137524,146301,155210,161767,170779,177230,182813,204761,214224,921970,-1,-1,-1,-1,-1,-1,-1,-1
111626,120413,126570,131817,138606,149282,157625,163617,168633,174709,181498,188779,213337,697024,1102556,-1,-1,-1,-1,-1,-1,-1
111617,116909,122162,128560,133616,138745,149118,173301,179860,189183,195130,205777,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111609,116904,122232,131589,139302,145781,151070,159481,174726,196934,203826,211999,226133,237523,667876,-1,-1,-1,-1,-1,-1,-1
111633,116888,122430,130499,135756,143943,152249,159176,170717,175827,209778,223399,237962,600696,-1,-1,-1,-1,-1,-1,-1,-1
111607,119551,128865,137059,148940,172565,186225,550312,976474,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111617,118661,123951,129589,154650,160731,168963,190583,196956,202859,727784,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111622,119124,124370,132318,139209,148940,156234,161971,188981,195345,201783,223611,547937,1139092,-1,-1,-1,-1,-1,-1,-1,-1
111655,119104,128825,137403,143976,149650,162399,169801,183449,194637,487015,711844,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111634,119369,124662,130555,135751,142115,147900,161304,172037,191712,202048,775069,850932,-1,-1,-1,-1,-1,-1,-1,-1,-1
111650,119443,129032,135491,140491,146931,153147,158814,164693,173354,181213,189196,199089,500475,828623,-1,-1,-1,-1,-1,-1,-1
111594,119515,126750,132519,141990,149501,155595,161173,166277,174894,194877,665838,814547,-1,-1,-1,-1,-1,-1,-1,-1,-1
111620,116839,122133,131935,137798,143510,153604,159082,170025,186975,198643,205290,228070,236337,242236,248927,660319,966429,-1,-1,-1,-1
111618,118131,123143,134502,140203,154463,160599,168414,179513,189405,202070,212093,621719,1032195,-1,-1,-1,-1,-1,-1,-1,-1
111599,117288,122460,130334,136465,145438,152295,158372,164486,172766,182164,190535,261204,269785,482891,580709,841675,-1,-1,-1,-1,-1
113754,120065,125238,131946,137459,146947,154319,160984,166971,173677,193018,198148,204656,213233,594778,672912,1147601,-1,-1,-1,-1,-1
111612,117854,127604,137493,143106,155886,169358,177209,190968,195998,209928,256115,571821,-1,-1,-1,-1,-1,-1,-1,-1,-1
111647,117403,122406,128445,134839,141033,146507,151599,158385,163827,170086,175775,181786,210637,215931,234702,593297,769841,-1,-1,-1,-1
111599,119451,124866,136517,142694,149253,154709,165009,174544,179731,184949,198745,543045,956774,1074314,-1,-1,-1,-1,-1,-1,-1
111607,118237,123341,128343,134542,145244,155682,161729,170171,181922,193936,202741,643861,1059864,-1,-1,-1,-1,-1,-1,-1,-1
111589,118644,127699,134501,143500,153535,159030,166712,173256,179348,188473,194733,526309,719096,-1,-1,-1,-1,-1,-1,-1,-1
114169,119240,124568,131867,141695,149934,157279,164464,174878,208268,658059,795103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111633,118898,125975,138111,143229,148781,160510,167471,173529,182787,191414,206562,231615,545302,678200,724649,1222749,-1,-1,-1,-1,-1
111615,117128,125141,132050,138592,149633,162136,170594,176023,181533,189262,479389,703240,715967,-1,-1,-1,-1,-1,-1,-1,-1
111627,118322,126084,131138,136986,144506,151280,157515,166382,193698,198707,209603,215515,499477,578547,665643,904085,-1,-1,-1,-1,-1
111623,116765,121778,128716,138495,144134,149219,157859,165426,175898,183426,188431,200427,208796,637358,1032036,-1,-1,-1,-1,-1,-1
110894,115949,121247,131384,137462,144938,151818,158953,167139,175786,187422,196956,310810,403428,516841,597497,701514,-1,-1,-1,-1,-1
111616,118771,124382,133660,141905,147300,152814,158545,166080,172320,179852,185478,192821,199386,211278,221857,521574,590860,671103,-1,-1,-1
111604,117172,124239,132789,138338,145947,157882,165540,170827,176482,181569,188638,198323,204929,533136,652380,-1,-1,-1,-1,-1,-1
115570,121431,127134,135008,144461,153536,158538,167374,175425,188813,208588,216671,475511,543440,766552,962929,1030462,-1,-1,-1,-1,-1
115554,120560,125593,130698,140482,151128,156805,163587,172428,179517,185525,191512,198599,600065,874745,1101766,-1,-1,-1,-1,-1,-1
111614,118911,128625,137663,142690,148763,158167,163988,181895,186905,192259,197820,562498,857463,1126266,-1,-1,-1,-1,-1,-1,-1
111598,121213,126525,132464,143661,152832,163411,171367,176382,192749,206810,215212,228812,718502,764710,-1,-1,-1,-1,-1,-1,-1
111652,121232,126232,132747,141025,146876,151884,157184,162872,173275,180369,187104,195584,201985,559611,773898,838496,-1,-1,-1,-1,-1
111623,120581,125624,136742,143704,149798,156245,163414,170236,176480,192112,555715,896103,1118170,-1,-1,-1,-1,-1,-1,-1,-1
110970,115980,122701,127825,134100,140986,147496,157661,164926,172613,179181,186563,193911,472926,542310,728793,-1,-1,-1,-1,-1,-1
111615,116636,123228,132416,140776,148364,153405,163128,172540,183438,190935,216305,230727,858332,-1,-1,-1,-1,-1,-1,-1,-1
111030,116347,123715,129582,142182,149681,156597,163600,172539,181284,187205,193069,198779,205044,216034,408903,623770,823725,1188988,-1,-1,-1
111642,118770,124804,134040,143345,148702,156002,164045,173784,182642,189284,199665,226107,595580,643467,950121,-1,-1,-1,-1,-1,-1
111604,116677,123867,132323,138882,145336,154288,171459,192078,208252,220152,230819,632893,741634,1134686,-1,-1,-1,-1,-1,-1,-1
111008,116114,122866,130911,137349,147400,154023,160914,166743,172213,177213,192401,197743,214231,444019,555670,702322,940177,1045950,-1,-1,-1
115410,123274,131519,138341,143994,161769,167323,175676,182348,187843,193682,206053,513169,827091,-1,-1,-1,-1,-1,-1,-1,-1
115470,120482,127187,133452,139829,147394,153250,161266,167912,176308,184770,203905,564609,794399,-1,-1,-1,-1,-1,-1,-1,-1
115651,120657,128789,137614,143074,148594,156659,163734,168922,177531,189817,196332,206427,472411,606225,685439,1059334,-1,-1,-1,-1,-1
115340,120365,127135,132501,138646,143676,148707,153765,159330,168295,181911,194793,214896,223788,542308,819828,-1,-1,-1,-1,-1,-1
115455,120457,126175,134810,140038,146457,151751,157434,163905,169261,177482,183167,189353,197761,209353,217988,223405,232409,661112,885990,-1,-1
115454,120459,125654,130822,139288,144699,149708,154938,160518,172329,178198,187547,196991,205387,210769,222927,516722,784572,-1,-1,-1,-1
115654,121636,128832,137756,145868,151211,156363,166071,177069,187258,193328,201681,211855,541686,670246,844413,-1,-1,-1,-1,-1,-1
110979,116121,124891,134260,141105,147410,152529,158468,167169,183014,192910,198766,207335,223071,228791,465871,659104,859003,-1,-1,-1,-1
110980,116218,125341,136976,142085,150612,156356,161876,168470,173509,185359,197011,207526,215534,223233,504976,688644,855695,943753,-1,-1,-1
111587,116618,121657,127431,136805,143341,148688,155331,160667,169313,175571,188719,198586,218494,227400,237196,505630,664854,1159288,-1,-1,-1
111583,116663,121873,127445,133129,138144,143871,150123,155841,161293,173080,188591,193763,206709,229383,555388,717966,936240,1149269,-1,-1,-1
110985,116158,121239,127231,137265,147306,154498,164426,176086,181095,221888,231765,510963,705921,1089401,-1,-1,-1,-1,-1,-1,-1
111037,116152,121510,129384,135121,140705,146276,153635,162342,169493,178794,185722,191056,210179,222376,537437,858917,-1,-1,-1,-1,-1
111614,117405,126303,132695,139797,144914,151117,158134,165036,170100,192112,200832,207148,482368,770576,959385,-1,-1,-1,-1,-1,-1
111619,116921,122845,128655,133738,139049,147574,153334,158812,165744,170931,176794,182551,191969,202960,225435,440928,613518,653133,1191455,-1,-1
110946,116349,121427,126621,138131,144486,151197,157640,165562,176834,185100,194196,207079,628319,833228,927237,-1,-1,-1,-1,-1,-1
110901,116151,122042,128749,141880,151041,156371,162231,194825,220280,548818,827040,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110971,116142,121460,129178,137983,150795,156727,188122,195029,203495,544869,718231,981699,-1,-1,-1,-1,-1,-1,-1,-1,-1
111644,117064,122142,127220,136156,145203,150513,156775,162261,170896,194049,240276,290908,603814,1098221,-1,-1,-1,-1,-1,-1,-1
111621,117652,122751,130256,138230,143366,148399,159606,170210,178306,184922,195017,200448,216179,597598,776466,990632,-1,-1,-1,-1,-1
111620,118951,124070,130427,135543,141422,150898,156088,164144,180064,218486,691885,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
114589,120744,125836,134169,139619,144898,151702,156707,166211,171686,189426,202808,652148,886500,946395,-1,-1,-1,-1,-1,-1,-1
110976,116203,121284,126361,133346,138950,145303,151991,157901,163356,172010,177889,187934,197759,203536,209619,222357,232615,957904,-1,-1,-1
