0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
104947,111400,112255,113027,113616,114546,115654,117199,235620,699445,-1,-1,-1,-1,-1,-1,-1,-1,-1
103838,111396,112265,113046,113649,114197,114889,115390,116095,232546,1135461,-1,-1,-1,-1,-1,-1,-1,-1
111474,112263,113049,113609,114209,114990,115733,116814,161158,171534,275451,-1,-1,-1,-1,-1,-1,-1,-1
111402,111904,112460,113033,113621,114298,114800,115739,451170,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104852,111484,112261,113233,113815,114786,115386,116489,117208,134715,178610,381466,-1,-1,-1,-1,-1,-1,-1
105882,111400,112276,113039,113540,114301,115328,116170,194910,865575,950992,967241,1114717,-1,-1,-1,-1,-1,-1
104145,111469,112245,113025,113739,114287,114949,116026,117378,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104947,111416,112433,113330,114161,114945,116472,117623,168010,360851,-1,-1,-1,-1,-1,-1,-1,-1,-1
105162,111399,112250,113055,113609,114271,114881,115516,118146,240740,1173568,-1,-1,-1,-1,-1,-1,-1,-1
103995,111391,112250,112925,113480,114095,114939,115549,116419,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103881,111419,112253,112836,113337,114015,115015,115746,117281,177280,442679,670316,-1,-1,-1,-1,-1,-1,-1
104932,111464,112439,113140,113640,114197,114953,115876,170997,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103720,111473,112255,113322,114472,115027,115726,116819,119255,206930,227857,419969,439663,-1,-1,-1,-1,-1,-1
105071,111472,112262,113056,113701,114314,114983,116170,479889,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104331,111396,112254,113025,113890,114478,115555,116064,176436,179572,417486,-1,-1,-1,-1,-1,-1,-1,-1
102142,111401,112259,113329,113954,114486,115000,189855,220736,722872,-1,-1,-1,-1,-1,-1,-1,-1,-1
103478,111780,112455,113044,113624,114126,114658,115668,117309,178052,492014,-1,-1,-1,-1,-1,-1,-1,-1
104020,111398,112270,113221,114207,114890,115453,195607,475856,507787,-1,-1,-1,-1,-1,-1,-1,-1,-1
104870,111385,112252,113317,114274,114775,115396,118097,401272,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103939,111396,112260,112847,113512,114222,114976,115578,187119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104353,111469,112260,113031,113559,114308,114922,115768,117624,183282,1099740,-1,-1,-1,-1,-1,-1,-1,-1
104847,111767,112441,113026,113528,114028,114967,115549,117599,752528,1197090,-1,-1,-1,-1,-1,-1,-1,-1
104131,111403,112272,113042,113633,114505,115403,168629,185480,415742,-1,-1,-1,-1,-1,-1,-1,-1,-1
103809,111483,112446,113445,114101,115307,116625,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104676,111404,112258,113033,114001,114501,115414,117519,218335,429827,-1,-1,-1,-1,-1,-1,-1,-1,-1
103817,111273,111775,112456,113041,113541,114300,114982,115723,240549,-1,-1,-1,-1,-1,-1,-1,-1,-1
104130,111760,112456,113333,113958,114806,122161,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
102644,111399,112254,113027,113723,114282,114788,115378,116043,116829,181215,-1,-1,-1,-1,-1,-1,-1,-1
104300,111767,112451,113039,113892,114779,115399,402809,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
