0,1,2,3,4,5,6,7,8,9,10
111874,121499,169847,177201,189186,213221,-1,-1,-1,-1,-1
111880,140343,148824,163627,173439,178544,184406,193243,198599,-1,-1
111863,160113,167253,174030,181362,188393,195195,216720,-1,-1,-1
111862,128004,162701,168710,177184,185068,192500,198130,222838,-1,-1
111867,126578,154667,164837,173603,182818,211977,217634,-1,-1,-1
111887,119650,130090,140782,155823,165552,175016,180891,189328,206128,950982
111866,138567,181069,190665,198768,206166,216485,-1,-1,-1,-1
111876,125996,138739,155336,165454,178391,185984,206420,-1,-1,-1
111873,132162,143925,188113,194976,204281,212477,220977,-1,-1,-1
111867,127016,138874,179678,197473,-1,-1,-1,-1,-1,-1
111865,128322,157537,165456,178881,189443,196515,-1,-1,-1,-1
111882,130762,144495,152347,161352,172929,184604,190595,196253,-1,-1
111868,122428,137781,158739,164429,172227,181237,187544,195925,-1,-1
111870,129887,167183,181216,196323,204300,-1,-1,-1,-1,-1
111868,128966,161108,176391,182248,196899,203279,-1,-1,-1,-1
111873,132555,164800,172961,179066,209981,226652,-1,-1,-1,-1
111869,148542,158420,164158,177759,184349,198608,-1,-1,-1,-1
111866,155170,160888,170549,-1,-1,-1,-1,-1,-1,-1
111874,155475,180451,217575,-1,-1,-1,-1,-1,-1,-1
111867,163738,169928,176675,185307,204028,-1,-1,-1,-1,-1
111869,168175,184493,201130,223165,-1,-1,-1,-1,-1,-1
111870,178764,205812,-1,-1,-1,-1,-1,-1,-1,-1
111873,159730,180175,196902,231269,-1,-1,-1,-1,-1,-1
111856,167315,177883,190424,-1,-1,-1,-1,-1,-1,-1
111862,171133,-1,-1,-1,-1,-1,-1,-1,-1,-1
111858,161859,174609,189573,195898,201112,-1,-1,-1,-1,-1
111860,169626,221315,-1,-1,-1,-1,-1,-1,-1,-1
111859,157223,174956,-1,-1,-1,-1,-1,-1,-1,-1
111862,155741,162841,184423,194125,207654,220532,-1,-1,-1,-1
111869,160933,167091,174122,207565,-1,-1,-1,-1,-1,-1
111873,152464,177077,184844,209703,228059,-1,-1,-1,-1,-1
111862,184888,197664,-1,-1,-1,-1,-1,-1,-1,-1
111873,154560,173672,199352,207946,225492,-1,-1,-1,-1,-1
111868,144120,171015,190788,204433,-1,-1,-1,-1,-1,-1
111876,179312,195814,205341,215301,-1,-1,-1,-1,-1,-1
111861,165577,177947,189598,199622,210890,-1,-1,-1,-1,-1
111870,168802,181715,188291,199915,212722,-1,-1,-1,-1,-1
111875,181083,186773,192548,210349,221208,-1,-1,-1,-1,-1
111864,182553,209536,-1,-1,-1,-1,-1,-1,-1,-1
111873,146610,169685,177334,185844,194745,-1,-1,-1,-1,-1
111875,150612,164619,172461,179884,-1,-1,-1,-1,-1,-1
111863,151916,167217,174636,182440,188277,211740,-1,-1,-1,-1
111872,151458,157427,163983,178349,193746,-1,-1,-1,-1,-1
111869,173132,188048,-1,-1,-1,-1,-1,-1,-1,-1
111860,170022,181404,190216,195702,207557,234121,-1,-1,-1,-1
111872,200551,-1,-1,-1,-1,-1,-1,-1,-1,-1
111866,147020,152725,159966,202811,-1,-1,-1,-1,-1,-1
111891,197703,-1,-1,-1,-1,-1,-1,-1,-1,-1
111866,158760,166354,174535,203683,-1,-1,-1,-1,-1,-1
111868,140824,151371,164535,171104,186622,191896,203370,-1,-1,-1
111870,155837,208790,220886,-1,-1,-1,-1,-1,-1,-1
111871,169746,-1,-1,-1,-1,-1,-1,-1,-1,-1
111884,170470,179739,187852,-1,-1,-1,-1,-1,-1,-1
111863,165896,192837,212574,-1,-1,-1,-1,-1,-1,-1
111873,162676,169461,179316,-1,-1,-1,-1,-1,-1,-1
111873,198779,204300,212425,-1,-1,-1,-1,-1,-1,-1
111866,163853,182342,192138,218273,225329,-1,-1,-1,-1,-1
111869,141085,155857,163926,169603,177374,195101,202657,-1,-1,-1
111874,159717,174237,179995,188875,196642,-1,-1,-1,-1,-1
111866,151760,157435,198237,-1,-1,-1,-1,-1,-1,-1
111867,149438,163448,199088,204635,-1,-1,-1,-1,-1,-1
111870,147688,157115,162891,170257,-1,-1,-1,-1,-1,-1
