0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
104964,111384,112028,112764,113837,114858,127689,129817,167074,181139,405364,-1,-1,-1,-1
104685,111391,111987,112726,113251,114408,115163,116547,128883,187107,525616,-1,-1,-1,-1
111389,112222,112945,113504,114024,131408,132478,669225,955842,-1,-1,-1,-1,-1,-1
104192,111448,111970,112474,158377,164096,376885,-1,-1,-1,-1,-1,-1,-1,-1
111438,112024,112554,113108,114218,235621,447401,-1,-1,-1,-1,-1,-1,-1,-1
104220,111393,112087,112774,113536,154960,224828,352057,1142901,-1,-1,-1,-1,-1,-1
104378,111447,111980,112561,161255,169845,275543,326647,489865,-1,-1,-1,-1,-1,-1
111440,112035,112682,114602,170558,451263,595139,-1,-1,-1,-1,-1,-1,-1,-1
105026,111387,112166,112679,113327,126887,139602,178707,-1,-1,-1,-1,-1,-1,-1
111390,111987,112774,114492,865544,951127,-1,-1,-1,-1,-1,-1,-1,-1,-1
104347,111491,112015,112516,113045,113831,115377,194073,-1,-1,-1,-1,-1,-1,-1
105072,111426,111975,112717,114087,155167,171083,360841,-1,-1,-1,-1,-1,-1,-1
111450,111969,112643,177630,240742,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111383,112030,112555,113107,113967,173932,186530,205291,221252,-1,-1,-1,-1,-1,-1
111428,111979,112548,177338,382370,670307,-1,-1,-1,-1,-1,-1,-1,-1,-1
105138,111436,111977,112514,113109,171055,-1,-1,-1,-1,-1,-1,-1,-1,-1
103917,111444,112328,112978,113480,227932,439738,-1,-1,-1,-1,-1,-1,-1,-1
111445,111988,112557,113360,181257,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104443,111384,112163,112767,113800,114504,176532,189612,417477,-1,-1,-1,-1,-1,-1
111391,112341,112867,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103604,111393,111988,112522,113416,114104,148077,172157,203378,492030,-1,-1,-1,-1,-1
111437,111957,112473,113245,185146,190262,615156,-1,-1,-1,-1,-1,-1,-1,-1
104912,111382,112025,112552,113533,177828,199608,401268,-1,-1,-1,-1,-1,-1,-1
111389,112031,112682,113334,164974,187211,-1,-1,-1,-1,-1,-1,-1,-1,-1
111466,112147,112661,141362,192025,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104892,111386,112027,112726,113587,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111441,112041,112562,168728,173642,197526,-1,-1,-1,-1,-1,-1,-1,-1,-1
104043,111586,112334,112933,113501,164864,172418,-1,-1,-1,-1,-1,-1,-1,-1
105055,111390,112031,112559,113063,114057,140974,156360,166183,179348,182407,197143,429725,-1,-1
111391,112035,112771,113541,114696,154654,173218,185001,188099,677213,-1,-1,-1,-1,-1
104409,111431,112066,112671,114045,145069,210063,-1,-1,-1,-1,-1,-1,-1,-1
102711,111387,112030,112559,113115,113675,181271,-1,-1,-1,-1,-1,-1,-1,-1
104366,111384,111906,112468,402800,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111381,112072,113801,499034,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105701,111447,112082,285336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111379,111902,154312,195957,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
106309,111386,111986,112560,113778,165694,-1,-1,-1,-1,-1,-1,-1,-1,-1
111385,111950,112764,113709,220800,1074316,-1,-1,-1,-1,-1,-1,-1,-1,-1
104298,111392,112297,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104387,111532,179582,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105589,111389,112294,112815,113719,114464,1094627,-1,-1,-1,-1,-1,-1,-1,-1
111401,111984,112484,114297,169447,756847,-1,-1,-1,-1,-1,-1,-1,-1,-1
111395,112340,113251,186121,204204,214443,-1,-1,-1,-1,-1,-1,-1,-1,-1
111391,112031,112562,113338,114098,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111389,111898,115349,159949,324163,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111386,111987,112765,172402,188389,209919,313028,-1,-1,-1,-1,-1,-1,-1,-1
111390,112170,112729,113545,114234,115089,180742,197185,534428,-1,-1,-1,-1,-1,-1
111594,112366,201432,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105469,111398,112042,147648,169752,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103881,111467,167895,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103367,111389,112035,112561,113333,175476,381761,448352,-1,-1,-1,-1,-1,-1,-1
111389,112293,113509,148778,912623,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111390,111989,170731,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111440,112042,201129,353068,1236069,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111405,112280,113238,139678,197078,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103763,111383,111984,112555,113070,420028,-1,-1,-1,-1,-1,-1,-1,-1,-1
104736,111388,111888,112945,113992,149546,447535,-1,-1,-1,-1,-1,-1,-1,-1
111393,112176,112687,113246,114109,153382,-1,-1,-1,-1,-1,-1,-1,-1,-1
111401,111985,112565,140941,145001,824216,-1,-1,-1,-1,-1,-1,-1,-1,-1
111385,111975,112767,113733,114290,197648,204414,408999,-1,-1,-1,-1,-1,-1,-1
111402,112044,112873,114508,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111441,111959,113231,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111331,111845,112377,112939,113725,143998,-1,-1,-1,-1,-1,-1,-1,-1,-1
111397,112030,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111383,112289,112937,113793,114612,142087,184814,433942,-1,-1,-1,-1,-1,-1,-1
111392,111988,112565,113417,182046,973215,-1,-1,-1,-1,-1,-1,-1,-1,-1
111374,111899,113334,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111383,111978,112764,113716,162438,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104458,111438,111951,112458,113149,163913,791939,-1,-1,-1,-1,-1,-1,-1,-1
111446,111975,112564,113458,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111402,111991,112568,113425,184868,296933,-1,-1,-1,-1,-1,-1,-1,-1,-1
111391,111990,112776,162525,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111386,111981,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105537,111382,111982,112763,113626,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105015,111375,112019,112568,113520,168403,-1,-1,-1,-1,-1,-1,-1,-1,-1
111394,112045,112658,504453,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111395,111999,112777,113556,365459,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111386,111978,311380,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111382,111981,112762,113315,394441,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111390,111990,112729,113287,149007,498468,-1,-1,-1,-1,-1,-1,-1,-1,-1
111395,112038,112774,113341,162233,186558,321371,-1,-1,-1,-1,-1,-1,-1,-1
111382,111942,112759,113711,172735,176228,865065,-1,-1,-1,-1,-1,-1,-1,-1
103562,111442,112029,112570,113255,157229,163590,930588,-1,-1,-1,-1,-1,-1,-1
111513,112036,113253,182768,188797,198325,-1,-1,-1,-1,-1,-1,-1,-1,-1
111402,111967,112475,113135,183139,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111387,111992,112552,113153,155962,168880,186536,1183418,-1,-1,-1,-1,-1,-1,-1
111386,112030,112555,113325,170248,606783,-1,-1,-1,-1,-1,-1,-1,-1,-1
111335,111882,112653,339485,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104339,111401,112175,112873,113644,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105407,111386,111951,112559,113164,113719,201325,569900,-1,-1,-1,-1,-1,-1,-1
111384,112027,112729,113232,113911,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111389,112034,112555,113073,113598,223333,280554,-1,-1,-1,-1,-1,-1,-1,-1
104876,111385,111986,112514,113722,193200,204416,608450,-1,-1,-1,-1,-1,-1,-1
111386,111954,112660,158853,171563,186454,-1,-1,-1,-1,-1,-1,-1,-1,-1
111387,111983,112589,113540,760924,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111388,112010,112638,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111516,112030,112859,167708,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105038,111386,111988,112770,113530,288240,-1,-1,-1,-1,-1,-1,-1,-1,-1
111385,111988,112765,140650,198521,213231,504832,938212,1062176,1185272,-1,-1,-1,-1,-1
111373,112161,112931,113521,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104015,111336,111843,112647,113642,221236,348130,-1,-1,-1,-1,-1,-1,-1,-1
106222,111400,112057,112571,113276,170562,176716,-1,-1,-1,-1,-1,-1,-1,-1
104560,111384,111938,112552,113187,240658,248330,-1,-1,-1,-1,-1,-1,-1,-1
111385,112027,112557,113153,113665,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111328,111833,112366,194227,356535,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104941,111645,112288,113014,161748,297600,-1,-1,-1,-1,-1,-1,-1,-1,-1
30895,104461,111333,111841,112379,112943,157722,212926,358012,672141,-1,-1,-1,-1,-1
104659,111394,112171,112775,151835,158083,375729,-1,-1,-1,-1,-1,-1,-1,-1
103568,111331,111854,112562,113127,158231,548636,-1,-1,-1,-1,-1,-1,-1,-1
111386,111886,112473,113239,160889,237142,320128,673601,977602,1102021,1104882,1122947,-1,-1,-1
111333,111849,112643,113331,132771,172526,186463,204741,401617,-1,-1,-1,-1,-1,-1
111439,111944,112526,113333,247638,336721,501472,-1,-1,-1,-1,-1,-1,-1,-1
111858,112440,113304,287221,552190,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111393,111996,112670,113230,158011,201368,221037,229039,-1,-1,-1,-1,-1,-1,-1
103644,111806,112551,113150,171730,174348,209661,339107,1151776,-1,-1,-1,-1,-1,-1
104831,111398,112173,112820,113551,157613,158575,194566,275547,442669,917993,-1,-1,-1,-1
104063,111398,111955,112567,113260,157551,178910,646256,886270,-1,-1,-1,-1,-1,-1
104762,111440,111944,112682,188526,305146,599282,-1,-1,-1,-1,-1,-1,-1,-1
104910,111819,112349,113031,115337,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111330,111856,112815,113701,114228,142349,148394,169571,297031,-1,-1,-1,-1,-1,-1
105071,111331,111879,112517,113119,113716,362941,-1,-1,-1,-1,-1,-1,-1,-1
111510,112013,112571,113115,113722,165568,-1,-1,-1,-1,-1,-1,-1,-1,-1
103781,111383,111976,112766,113794,166489,174939,626925,-1,-1,-1,-1,-1,-1,-1
105337,111401,111915,112438,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
108966,111387,111890,112603,132339,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111390,111954,112517,113030,160417,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111788,112295,113227,115338,194268,959070,-1,-1,-1,-1,-1,-1,-1,-1,-1
111395,112462,113160,113933,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
