0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
111585,127154,134497,141436,149490,158955,165741,171110,177307,185790,191101,201830,207637,218085,234385,413901,525959,691551,1040016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104470,111594,124092,130271,139657,147326,152626,158996,165037,174880,179907,192157,202534,218548,375353,456942,500586,552253,655867,744098,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105935,111582,116747,124580,132532,137716,142946,151855,160686,165944,174315,179654,188528,195056,202806,210125,217047,223770,352654,433343,546280,655154,739142,1100759,-1,-1,-1,-1,-1,-1,-1
106450,111587,125124,130730,138776,148767,154970,161112,169712,174889,182162,188422,196080,201429,207249,226072,238574,360726,425647,530345,557199,667105,672502,-1,-1,-1,-1,-1,-1,-1,-1
112178,124418,132376,137644,143877,152238,160381,168229,176276,191213,197709,203402,209245,369934,471254,538281,605406,800288,842790,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103809,111586,119118,126280,135705,141664,146889,152488,159194,170515,175817,181044,195872,203353,209756,218477,224677,233672,488895,537620,649280,839694,865871,1139904,-1,-1,-1,-1,-1,-1,-1
103035,112432,122529,132162,139309,148871,156163,163483,174263,179622,186042,192996,199665,205196,212207,223442,237782,430260,464521,601858,803507,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105087,111586,119115,124779,131877,141534,147319,153009,158400,163405,168470,175405,185586,192534,200167,205929,212681,226264,367239,443612,565576,672624,772563,-1,-1,-1,-1,-1,-1,-1,-1
105423,111590,124786,132224,137426,142466,147468,157373,163536,170145,176883,184824,193260,199614,207230,213906,221544,229724,436204,527388,647269,676212,868098,-1,-1,-1,-1,-1,-1,-1,-1
104309,111806,117661,123626,129815,135762,142134,149325,155311,161378,167762,174834,181074,186232,191605,198044,206763,216588,229773,413787,517418,607693,625566,692603,849039,-1,-1,-1,-1,-1,-1
