0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
103950,111843,112460,113343,113860,114385,130985,132147,133447,138593,141002,145878,154239,159072,174238,501609,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105377,111828,112436,113326,114361,115323,117553,127105,128076,164232,164908,165429,166978,170444,172553,173550,179056,188943,190885,192785,201771,224612,225263,627628,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105230,111343,112031,112929,113879,115183,115939,116614,126656,130251,139950,155988,159354,162246,170496,177405,179199,188267,197561,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105318,111615,112595,113371,114159,114988,115656,118636,129168,136795,137961,149532,150316,159677,160223,164982,167567,168156,171525,172277,177873,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105511,111398,112289,113198,113713,114535,115143,116893,129944,130792,132804,135531,139232,143444,153030,154435,160207,160760,166146,170608,175358,176920,193312,200045,205288,210041,325137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104524,111346,111892,112535,113259,114248,115052,115933,119753,128247,129399,142323,144697,152246,167898,180477,183695,190755,192161,650869,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105273,111398,112150,112668,113427,114021,115067,116677,125449,132926,134022,143316,150018,153366,157612,168299,174440,183296,190954,194967,201935,202705,209728,221648,231547,726260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104303,111398,111948,112474,113019,113758,114728,115794,127093,129414,134128,136890,137762,138651,143035,144827,157649,167042,169714,174485,179785,204196,257961,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104619,111468,112101,112637,113249,113851,114387,115031,116972,124987,126295,127005,129878,132586,136650,139614,144993,149260,154122,155089,163447,173019,174560,175321,183159,186940,419599,881611,-1,-1,-1,-1,-1,-1,-1,-1,-1
104518,111400,112054,112648,113242,113757,114679,115217,127460,130727,134372,136692,141113,141709,151789,152315,157092,167936,169185,188740,424653,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104161,111386,111934,112627,113229,113887,114495,117717,130024,132716,134215,137258,142320,144866,151722,155945,171312,179790,194879,272581,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45337,105283,111333,111882,112388,112970,113474,114478,115015,115798,116340,130313,131302,131829,135720,149249,155024,155698,159239,164329,168918,172505,176887,184255,1043215,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104192,108648,111394,111962,112483,113294,113919,114562,115821,122139,122885,124363,128366,130522,133364,138002,139017,141926,145346,147768,154675,158226,162264,165677,171957,177823,178474,306715,-1,-1,-1,-1,-1,-1,-1,-1,-1
105477,111616,112288,112805,113306,113973,114586,115298,115835,117953,126547,128486,131127,132127,133710,135308,138365,139514,143509,147831,152045,156073,158754,160803,162472,163036,168660,171242,176755,177329,180685,191081,193628,202563,210148,1064767,-1
105398,111426,112101,112774,113287,114058,114560,115783,116317,131633,132257,134242,138062,144371,148631,153864,155557,162419,168636,175155,182206,187370,188563,189300,197805,457325,746001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105095,111672,112444,113238,114118,115010,126829,128610,130331,132418,133684,134696,136321,138652,144609,156789,158767,164516,166707,172345,172959,194982,383131,609444,1027238,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105583,111398,111901,112634,113330,114034,114960,115504,116328,122573,126570,127357,138144,139840,145302,148011,152098,155449,161182,167852,179815,189203,231397,535333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105239,111444,111966,112510,113020,113750,114268,115157,115692,118526,123458,125870,126398,129363,129980,131626,134828,138241,140555,143538,148560,150440,151772,162126,170745,182399,184371,199719,203618,206908,208885,218506,-1,-1,-1,-1,-1
104655,111440,112056,112567,113256,113866,114648,115487,117533,118201,120325,124608,126348,127023,127976,138326,148637,154736,164754,174324,183376,184675,199084,215862,217727,780364,1044813,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105862,111334,111864,112728,113233,113876,114415,114971,117534,118198,120718,122307,125764,127570,134788,137036,142134,153054,153683,159399,160621,167956,173652,180961,184265,189645,283100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105160,111406,111998,112498,113219,113996,114759,115264,116761,117565,118077,120241,126010,127104,129090,129604,133698,141828,144268,144813,145693,152441,158693,169690,175528,195695,257197,402046,1231859,-1,-1,-1,-1,-1,-1,-1,-1
104402,111817,112466,113229,113772,114287,114801,115545,116625,117908,118423,122572,125070,126916,129754,130398,131954,132600,141714,151260,155385,160419,161524,166775,173816,176468,178960,185500,581778,-1,-1,-1,-1,-1,-1,-1,-1
102977,111698,112662,113168,113721,114527,115288,118112,119668,122161,123471,123986,124867,128919,134257,136031,136896,140262,142908,148726,150979,163007,163755,176031,419423,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
106088,111386,111904,112606,113117,113743,114658,115621,116413,119289,121246,126863,128526,129040,130995,132351,136857,138732,141574,142144,146291,148014,150373,180293,1115285,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105581,111398,112224,112733,113315,114030,115121,115698,116259,117288,119525,120342,122665,124082,125965,126545,127891,128413,130535,131983,134466,137088,145501,148465,161730,162411,172501,181355,194205,201298,205130,266368,-1,-1,-1,-1,-1
105369,111331,111842,112780,113298,114043,114804,115923,116571,117086,117903,118630,125619,127298,129628,131415,145837,148549,163373,168893,170308,392168,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105576,111331,111832,112338,113233,113772,114691,117511,121257,122774,126589,127104,128835,131453,132233,134704,135890,136418,136992,143972,145288,163072,164830,170708,181171,189016,992384,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104993,111369,112140,112646,113204,113719,114516,115606,116145,117758,119872,121996,124000,126075,131029,132859,135108,139078,139940,141203,154745,163749,175196,193068,194015,639044,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104662,111386,112039,112539,113484,114011,114526,115040,115584,119394,120089,122753,124994,125693,130675,132095,132699,133477,139115,140419,145066,146113,154401,165100,184170,396638,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104585,111675,112347,113205,114212,116171,116686,119406,125392,127953,128865,129766,139042,140798,142149,143386,146361,147244,149712,150828,161381,164374,165112,167736,171133,224181,393072,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104444,111695,112261,112832,113732,114274,114880,115424,117975,118583,126623,127140,128747,133329,137311,139302,142956,146401,147555,155694,159231,215400,437234,670658,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105652,111464,111973,112475,113381,113924,114578,115165,115723,116247,116790,120128,122638,123319,124403,126662,127269,129040,133872,134436,135168,136487,138298,140591,141307,144405,147943,149377,149948,157436,162134,165703,169703,191003,201746,365140,410566
103657,111389,112230,113047,113916,114420,114987,115597,116590,119429,122531,123946,124461,130135,139515,143312,144308,147286,150698,152176,154111,157493,158008,174335,175291,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105133,111427,111963,112561,113136,114123,115079,116212,116856,120278,124440,125610,128194,129019,131203,132486,133002,135786,137284,138964,141748,142831,144563,148211,151768,165879,170092,172458,175653,188374,209619,238511,-1,-1,-1,-1,-1
105486,111327,111843,112631,113414,114396,115261,115968,118926,120901,125056,126058,127066,128257,130220,130789,138696,141056,143169,148708,149909,155888,161071,172580,188334,221647,477259,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104067,111546,112055,112637,113280,114179,114685,115262,117365,120553,121140,123880,124391,128707,129414,130178,131683,132337,133077,134460,136629,137583,142009,145524,146113,149683,152186,154050,191088,193646,842523,-1,-1,-1,-1,-1,-1
102970,111384,112163,112719,113265,113893,114614,115125,116097,119049,121968,126252,126911,133307,135080,135627,143442,145919,146757,152429,165803,195790,199009,427006,488575,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
102529,111695,112273,112973,113558,114103,114692,115205,115763,117748,118252,122461,125796,132097,136165,137261,137761,139314,140047,141645,142412,149099,430004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104154,111325,111829,112638,113214,113731,114686,115225,119046,120356,121412,122864,125687,127132,129433,131370,131979,135259,141439,143688,152194,152922,168373,170401,175321,177946,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
62489,104995,111396,112154,112658,113636,114153,114707,115443,115987,116583,121372,124717,125721,127747,129500,132434,133045,136405,142345,143086,145567,156857,157989,163466,167905,170075,180785,185030,190451,192838,207381,294426,-1,-1,-1,-1
103480,111395,112035,112722,113401,114229,115232,115824,117600,121599,123562,125980,126664,129317,129927,135697,137341,141943,146698,147888,149507,150620,152491,155271,157222,167617,181064,183976,-1,-1,-1,-1,-1,-1,-1,-1,-1
103354,111683,112188,112742,113404,113913,115249,115785,116522,119933,122110,122625,126349,127267,128271,130274,132637,133669,134575,135119,139014,142213,148949,150702,162192,167407,231953,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104361,111569,112341,113292,113833,114389,114985,115930,118527,121494,124508,126027,129150,131254,133211,137210,140457,144462,152158,155546,158179,164767,648950,1052998,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103928,111395,112109,112985,113488,114440,115612,116735,117236,121609,127445,129193,134119,142267,160029,176307,210225,362194,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104547,111390,111897,112632,113273,114153,114694,115417,115934,116596,119887,122101,123052,125861,127029,130470,140493,142243,147707,149636,163503,169183,171216,249155,628015,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
