0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
103791,111398,111951,112462,113049,113720,114364,114978,116092,116880,132048,141991,146216,155040,174179,455170,501633,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104995,111378,111882,112440,112943,113716,114496,115453,116074,116874,117509,118157,119253,120047,120846,127047,127978,131953,163147,164811,173225,192649,210883,224517,287876,627639,628211,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104928,109496,111356,111976,112933,113720,114499,115294,116064,116728,117348,117991,118491,119260,120053,120842,121650,122443,123230,126558,130195,188143,209674,231169,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105242,111418,112267,112932,113542,114197,114987,115582,116082,116721,117338,118142,118772,129111,136699,149437,159644,381370,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105382,111389,111895,112616,113220,113720,114505,115144,115741,116244,116874,117378,117990,118629,119255,123729,129885,130980,131852,135463,143390,152968,157905,325162,325737,451651,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104322,111482,112020,112547,113268,114259,114978,115942,116907,119694,128149,129304,131804,133282,142196,203469,226352,231145,234731,650936,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105213,111309,111841,112639,113247,114028,114988,115622,116249,116892,117686,118789,125392,127299,132867,133934,136651,157552,160240,168251,188892,209634,221592,223946,470073,542865,726216,1018238,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104107,111316,111865,112486,113061,113763,114508,115458,116088,116881,117382,117980,118480,119265,126366,129324,130057,130832,134070,136831,137737,144768,177985,179742,196330,204060,228234,257869,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104418,111405,111986,112642,113254,114209,114988,115769,116271,116871,117682,118467,119261,120069,124930,126205,126925,129709,132456,139556,142490,144895,191446,207101,1080015,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104388,111575,112450,113241,114025,114686,115294,116091,116891,117680,118472,119258,120063,120851,121650,130671,134312,136634,145617,161930,169047,424545,478157,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103986,111395,111976,112640,113234,113734,114504,115288,116086,116879,117671,118468,119261,120051,129964,132620,137126,142277,144678,197260,272569,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
