0,1,2,3,4,5,6,7,8,9,10,11
111506,116657,121705,136408,143767,148875,156319,162416,-1,-1,-1,-1
111482,116792,122157,149000,156874,165960,174219,179805,187303,-1,-1,-1
111481,116659,121685,132635,140888,149719,156007,161007,-1,-1,-1,-1
111492,116809,121919,133962,141843,150191,-1,-1,-1,-1,-1,-1
111468,116731,121752,138546,152274,-1,-1,-1,-1,-1,-1,-1
111467,116585,121641,136039,142897,148741,-1,-1,-1,-1,-1,-1
111457,116701,121713,129218,134554,140373,149078,155292,-1,-1,-1,-1
111461,116653,121679,133472,141821,147386,159680,166550,-1,-1,-1,-1
111442,116748,121764,142788,149815,155516,166259,-1,-1,-1,-1,-1
111480,116696,121732,132743,140255,145485,-1,-1,-1,-1,-1,-1
111455,116709,121746,137204,147099,152534,160677,-1,-1,-1,-1,-1
111953,117114,122139,135625,143017,149117,-1,-1,-1,-1,-1,-1
111467,116686,121719,129892,135200,142175,150240,158640,165521,-1,-1,-1
111457,116799,121917,138104,148825,156166,-1,-1,-1,-1,-1,-1
111467,116749,121762,132380,138589,145540,156299,171962,180804,187467,-1,-1
111460,116690,121736,134061,143274,148909,157602,169737,-1,-1,-1,-1
111493,116661,121713,127934,134053,140251,145317,153147,-1,-1,-1,-1
111490,116744,121915,129331,136969,149155,173530,-1,-1,-1,-1,-1
112370,117701,122747,139038,-1,-1,-1,-1,-1,-1,-1,-1
111498,116747,122068,130309,139594,147154,152571,158792,170770,193438,202176,-1
111501,116803,121848,143320,151380,160826,-1,-1,-1,-1,-1,-1
111499,116795,122340,133522,138745,174963,-1,-1,-1,-1,-1,-1
111477,116675,121748,129084,138144,146732,157857,176017,-1,-1,-1,-1
111500,116648,121675,127717,134191,140133,150661,-1,-1,-1,-1,-1
111948,117041,122060,131934,137491,143129,150094,157105,165367,-1,-1,-1
111480,116811,121893,140912,147762,157533,163837,-1,-1,-1,-1,-1
111482,116671,121672,134655,142470,148199,-1,-1,-1,-1,-1,-1
111461,116705,122214,154399,163300,170204,177829,-1,-1,-1,-1,-1
111969,117259,122308,130207,139692,-1,-1,-1,-1,-1,-1,-1
111464,116727,121727,133365,141095,174361,-1,-1,-1,-1,-1,-1
111506,116832,121891,141800,148573,158242,-1,-1,-1,-1,-1,-1
111500,116690,121800,131252,137163,142252,147972,-1,-1,-1,-1,-1
111503,116807,121994,132828,142080,153340,163289,171372,-1,-1,-1,-1
111464,116780,122136,133897,144077,165954,-1,-1,-1,-1,-1,-1
111979,117101,122101,130155,137559,147358,153012,163477,-1,-1,-1,-1
111961,117081,122419,132061,139325,146086,151806,-1,-1,-1,-1,-1
111517,116812,121885,133627,148728,155021,163309,169551,179330,-1,-1,-1
111447,116777,121935,131283,141314,148911,156817,163642,-1,-1,-1,-1
111465,116703,121719,133727,139090,144392,154234,167616,-1,-1,-1,-1
111940,117301,122362,135666,141916,147347,153949,-1,-1,-1,-1,-1
111976,117079,122205,129417,137138,142721,153901,166657,-1,-1,-1,-1
111942,117142,122164,134384,142290,153266,168063,-1,-1,-1,-1,-1
111472,116679,121774,137076,147711,154014,172201,180256,-1,-1,-1,-1
111498,116745,121764,133651,139127,147016,155994,161810,-1,-1,-1,-1
111470,116847,121848,134491,139992,145178,151029,159940,-1,-1,-1,-1
111502,116729,121731,137554,142727,148161,155897,-1,-1,-1,-1,-1
111482,116704,121728,138746,143793,149625,154688,160502,-1,-1,-1,-1
111506,116723,122072,135971,142087,147757,172121,178689,-1,-1,-1,-1
111960,117140,122187,136950,143794,148796,156007,-1,-1,-1,-1,-1
111474,116622,121707,132179,138509,147573,162823,169025,-1,-1,-1,-1
111475,116720,121738,133178,143280,150381,-1,-1,-1,-1,-1,-1
111474,116677,121705,132302,139741,144741,151040,157161,166425,177697,-1,-1
111479,116579,121684,129883,139151,144475,165462,176358,907912,-1,-1,-1
111447,116630,121649,138608,149484,158209,-1,-1,-1,-1,-1,-1
111483,116802,122012,132456,146456,155829,165776,-1,-1,-1,-1,-1
111492,116704,122504,132268,138816,146738,152768,-1,-1,-1,-1,-1
111473,116845,121962,140960,150191,164092,-1,-1,-1,-1,-1,-1
111483,116739,121810,134898,140921,150501,-1,-1,-1,-1,-1,-1
111506,116838,121913,138698,169046,174211,-1,-1,-1,-1,-1,-1
111461,116800,121803,131805,139163,146142,151526,179448,204940,-1,-1,-1
111459,116787,121826,137100,145858,152344,159730,165086,-1,-1,-1,-1
111507,116842,121850,136502,141898,169066,177884,184897,191002,-1,-1,-1
111476,116729,121880,135395,144851,-1,-1,-1,-1,-1,-1,-1
111958,117218,122280,127469,134127,140485,156226,-1,-1,-1,-1,-1
111494,116851,121877,130980,139000,147283,177180,189360,-1,-1,-1,-1
111950,117264,122364,137188,142480,147828,158643,164776,-1,-1,-1,-1
111482,116781,122042,141638,148498,155590,160765,-1,-1,-1,-1,-1
111451,116796,121826,131096,139839,-1,-1,-1,-1,-1,-1,-1
111935,117238,122338,135587,141236,146429,152414,-1,-1,-1,-1,-1
111494,116840,121874,138043,146816,152993,-1,-1,-1,-1,-1,-1
111463,116867,122164,128870,134382,139541,146547,165389,-1,-1,-1,-1
111503,116804,121882,137371,147553,-1,-1,-1,-1,-1,-1,-1
111450,116818,121961,131058,138063,145522,155036,163014,-1,-1,-1,-1
111557,116855,121859,136055,145837,151327,-1,-1,-1,-1,-1,-1
111944,117303,122307,130400,135788,146042,-1,-1,-1,-1,-1,-1
111467,116789,121832,132667,139100,144187,155501,161723,168565,175699,182808,-1
111501,116757,121829,132022,141136,148491,156460,168280,178120,-1,-1,-1
111947,117243,122455,139028,163348,-1,-1,-1,-1,-1,-1,-1
111495,116796,122262,137697,144752,-1,-1,-1,-1,-1,-1,-1
111965,117226,122402,130514,136368,144469,150037,181217,-1,-1,-1,-1
111459,116834,121859,130556,135612,140715,145754,151724,-1,-1,-1,-1
111477,116802,121890,132377,142324,159560,-1,-1,-1,-1,-1,-1
111464,116838,121871,136847,154651,159735,165840,-1,-1,-1,-1,-1
111977,117298,122332,134086,139230,145889,151157,156160,163220,177058,-1,-1
111499,116835,121838,136476,142207,149042,155475,162171,169695,-1,-1,-1
111933,117318,122318,132686,140426,146826,-1,-1,-1,-1,-1,-1
111508,116847,121902,139732,145447,151398,-1,-1,-1,-1,-1,-1
111472,116830,121888,135923,141270,149001,197106,-1,-1,-1,-1,-1
111949,117269,122362,131065,144350,149593,154605,-1,-1,-1,-1,-1
111494,116817,121877,135934,141547,146835,153712,160760,-1,-1,-1,-1
111489,116835,121846,134035,141475,147015,166928,-1,-1,-1,-1,-1
111454,116854,121886,132797,139853,145513,152107,161807,-1,-1,-1,-1
111477,116797,121824,131854,137825,143162,148539,156465,161505,-1,-1,-1
111499,116825,121829,135102,140202,149014,156932,-1,-1,-1,-1,-1
111941,117258,122344,131545,137875,147725,154333,164877,193543,-1,-1,-1
111501,116832,121926,138072,146517,162031,-1,-1,-1,-1,-1,-1
111961,117251,122341,143948,-1,-1,-1,-1,-1,-1,-1,-1
111481,116837,121991,127059,132990,139993,145577,154691,173752,-1,-1,-1
