0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
110607,111336,111981,112567,113220,113816,114657,115205,115855,126122,134310,136001,138602,266089,566796,-1,-1,-1,-1,-1,-1,-1
110598,111325,111851,112572,113168,113922,114427,115116,115876,1040860,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110584,111323,111851,112673,113692,114628,115514,136841,137840,140915,249236,304823,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110556,111305,111809,112440,112946,113457,114147,114706,118231,118822,131792,782265,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110572,111240,111857,112408,113187,113724,114445,114984,115557,144694,447517,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110610,111676,112669,113169,113674,114279,117148,124605,127952,233761,277922,278431,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110609,111347,112234,113207,113809,114506,116127,138363,138878,141266,145636,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110588,111681,112243,113164,113731,114593,115275,116984,117884,176431,383782,393768,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110610,111687,112247,113248,114121,114768,116048,116640,117909,229679,372888,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110571,111401,111914,112478,113434,113971,114509,170339,219710,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110613,111345,112281,112873,113389,114023,114607,115487,116080,118242,142193,364711,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110584,111392,111921,112861,113783,114374,116095,116688,146371,204386,224689,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110566,111322,112028,112619,113141,113665,114230,114838,115686,116253,116771,361276,361811,362332,680467,-1,-1,-1,-1,-1,-1,-1
110669,111396,112001,112613,113263,113987,114847,115381,115945,121634,135122,135940,143099,152956,157363,230414,368282,-1,-1,-1,-1,-1
110590,111321,111944,112551,113552,114135,114789,116828,117437,118130,330250,575702,576253,-1,-1,-1,-1,-1,-1,-1,-1,-1
110586,111261,112069,112638,113272,113805,114324,114834,115721,116268,133330,242433,243248,-1,-1,-1,-1,-1,-1,-1,-1,-1
110547,111359,112336,113291,113824,114778,116466,117075,136473,294775,569474,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110642,111323,111982,112483,113069,113586,114106,114715,115233,115754,117085,117667,118191,135318,146917,251459,251999,-1,-1,-1,-1,-1
110609,111341,111881,112431,113055,113663,114339,114880,115440,116350,116903,169730,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110607,111325,112247,112843,113762,114357,115112,115705,116221,146572,147101,152476,280903,281420,281935,292359,431039,431581,-1,-1,-1,-1
110633,111401,111993,112557,113168,113752,114405,117334,117945,118642,138380,229767,245731,246241,336234,-1,-1,-1,-1,-1,-1,-1
110569,111324,112035,112562,113561,114146,119065,119648,120299,125293,130120,239545,240086,800230,-1,-1,-1,-1,-1,-1,-1,-1
110595,111341,111855,112387,113231,113731,114258,114772,116715,281260,388202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110523,111261,111990,112915,113602,114218,115231,115776,116295,124819,133063,136703,220696,492200,-1,-1,-1,-1,-1,-1,-1,-1
110610,111377,111976,112550,113113,113889,114501,115017,115668,118615,119227,137485,168577,201245,-1,-1,-1,-1,-1,-1,-1,-1
110588,111250,111858,112396,113157,114400,115333,151493,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110575,111618,112288,113248,113786,114299,115956,248055,248594,249324,547274,708918,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110660,111293,111916,112543,113110,113631,114668,115262,116198,130114,133040,143399,547433,-1,-1,-1,-1,-1,-1,-1,-1,-1
110663,111305,111977,112532,113197,113753,114526,115045,116465,132547,213453,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110602,111259,111837,112733,113965,115793,116388,287459,356069,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110593,111299,111979,112533,113566,114825,115570,136560,300199,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110640,111597,112285,112927,113933,114503,115042,116687,248340,425475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110638,111326,112051,112583,113252,113798,115127,116112,152998,215557,292445,292987,448557,-1,-1,-1,-1,-1,-1,-1,-1,-1
110608,111261,111863,112390,113009,114485,115097,116279,244916,336308,420707,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110611,111305,112038,112618,113149,113944,114453,115121,116726,117884,144024,149910,215285,313317,-1,-1,-1,-1,-1,-1,-1,-1
101805,110621,111329,111946,112458,112977,113651,114968,116318,130415,211167,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110594,111524,112382,112894,113752,115543,116152,138148,317362,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110631,111682,112277,112908,113789,139073,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110591,111312,111871,112408,113005,113587,114105,115578,116173,132923,135611,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22039,110601,111300,111993,112900,114390,585151,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110599,111311,111925,112762,113582,114510,115849,116380,117588,146116,487304,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110634,111204,111712,112555,113672,114258,115276,115818,262334,262874,353926,354429,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110600,111313,111907,112465,113094,113703,114586,115171,116127,132459,134054,345458,393859,-1,-1,-1,-1,-1,-1,-1,-1,-1
110676,111385,112096,112960,113795,114299,115439,116024,326990,546861,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110588,111552,112365,113139,114000,114819,115770,117649,157388,162564,194580,386718,387259,-1,-1,-1,-1,-1,-1,-1,-1,-1
